iteration,cos_a
46900.0,0.9892
47000.0,0.9892
47100.0,0.9892
47200.0,0.9892
47300.0,0.9893
47400.0,0.9893
47500.0,0.9893
47600.0,0.9893
47700.0,0.9894
47800.0,0.9894
47900.0,0.9894
48000.0,0.9894
48100.0,0.9895
48200.0,0.9895
48300.0,0.9895
48400.0,0.9895
48500.0,0.9896
48600.0,0.9896
48700.0,0.9896
48800.0,0.9896
48900.0,0.9896
49000.0,0.9896
49100.0,0.9897
49200.0,0.9897
49300.0,0.9897
49400.0,0.9898
49500.0,0.9898
49600.0,0.9898
49700.0,0.9898
49800.0,0.9899
49900.0,0.9899
50000.0,0.9899
50100.0,0.9899
50200.0,0.9899
50300.0,0.99
50400.0,0.99
50500.0,0.99
50600.0,0.99
50700.0,0.99
50800.0,0.9901
50900.0,0.9901
51000.0,0.9901
51100.0,0.9901
51200.0,0.9901
51300.0,0.9901
51400.0,0.9902
51500.0,0.9902
51600.0,0.9902
51700.0,0.9902
51800.0,0.9902
51900.0,0.9902
52000.0,0.9903
52100.0,0.9903
